FECHA,N1,N2,N3,N4,N5,N6,COMPLEMENTARIO,REINTEGRO
15/06/2022,2,6,13,24,32,39,31,2
14/06/2022,16,18,20,22,30,33,9,1
13/06/2022,9,20,31,39,42,49,17,7
11/06/2022,26,28,31,32,41,43,20,5
10/06/2022,6,15,18,38,41,42,27,2
9/06/2022,3,7,8,10,24,44,2,7
8/06/2022,24,33,43,45,48,49,29,0
7/06/2022,1,13,14,28,39,44,12,7
6/06/2022,5,12,29,31,33,38,11,3
4/06/2022,23,38,40,43,47,49,36,9
3/06/2022,3,8,16,22,29,41,24,4
2/06/2022,6,8,13,35,40,45,20,1
1/06/2022,2,3,5,16,27,39,8,2
31/05/2022,4,8,13,38,40,47,36,5
30/05/2022,2,3,7,14,17,25,31,1
28/05/2022,6,18,20,34,37,40,22,1
27/05/2022,8,13,19,45,46,48,14,9
26/05/2022,1,10,16,24,26,30,12,8
25/05/2022,5,6,9,12,33,39,4,2
24/05/2022,3,7,20,26,33,40,5,1
23/05/2022,2,3,13,30,37,47,41,6
21/05/2022,6,10,11,21,34,48,44,1
20/05/2022,3,7,10,21,26,31,48,6
19/05/2022,12,17,27,28,44,47,5,1
18/05/2022,1,5,13,20,38,41,16,8
17/05/2022,1,4,22,24,30,34,38,2
16/05/2022,9,16,29,44,46,47,48,2
14/05/2022,4,23,27,31,38,45,22,6
13/05/2022,9,12,25,32,36,49,3,7
12/05/2022,10,18,19,23,36,37,2,7
11/05/2022,2,11,27,32,35,40,24,4
10/05/2022,4,5,12,32,39,40,7,4
9/05/2022,1,16,17,26,39,46,7,3
7/05/2022,4,8,20,23,38,44,11,7
6/05/2022,5,16,17,28,38,43,18,8
5/05/2022,6,12,20,25,27,45,48,3
4/05/2022,12,18,20,32,41,43,6,2
3/05/2022,30,35,37,40,42,44,29,0
2/05/2022,2,4,22,23,31,33,43,8
30/04/2022,6,18,26,31,34,48,16,4
29/04/2022,7,9,10,25,29,49,34,3
28/04/2022,5,30,35,37,43,45,16,0
27/04/2022,2,4,5,14,25,40,3,5
26/04/2022,8,12,15,25,26,40,41,6
25/04/2022,4,17,26,28,34,41,37,0
23/04/2022,15,16,21,35,42,48,1,8
22/04/2022,17,26,38,39,41,47,42,4
21/04/2022,8,9,13,18,23,25,45,3
20/04/2022,12,18,27,30,34,35,16,3
19/04/2022,6,14,24,25,29,40,34,3
18/04/2022,15,21,22,32,36,43,28,0
16/04/2022,3,23,24,25,33,45,48,7
15/04/2022,3,9,13,31,33,36,43,4
14/04/2022,7,12,16,39,45,48,37,0
13/04/2022,8,15,22,27,37,42,46,7
12/04/2022,12,20,22,27,32,33,46,5
11/04/2022,12,13,16,29,40,45,2,0
9/04/2022,7,9,16,21,31,40,28,9
8/04/2022,1,8,26,27,41,47,28,7
7/04/2022,1,6,11,25,29,46,38,5
6/04/2022,9,16,21,32,35,36,42,7
5/04/2022,7,8,18,27,40,45,46,0
4/04/2022,3,4,25,39,40,42,11,5
2/04/2022,1,22,28,32,47,48,19,3
1/04/2022,6,15,19,28,30,49,36,1
31/03/2022,1,4,10,30,38,40,19,7
30/03/2022,5,21,30,33,41,43,17,2
29/03/2022,18,26,32,36,37,45,3,8
28/03/2022,1,8,9,16,24,42,14,4
26/03/2022,1,3,20,23,36,41,34,6
25/03/2022,17,21,24,29,30,46,3,7
24/03/2022,2,7,22,34,35,37,24,0
23/03/2022,7,22,23,30,31,46,32,3
22/03/2022,6,17,28,31,35,45,33,5
21/03/2022,17,19,34,36,41,44,31,2
19/03/2022,3,16,23,31,39,43,7,3
18/03/2022,9,10,15,22,46,49,42,3
17/03/2022,9,25,34,39,45,46,28,8
16/03/2022,2,8,10,16,30,44,35,7
15/03/2022,21,25,35,47,48,49,3,7
14/03/2022,11,13,26,32,37,44,47,2
12/03/2022,6,8,10,16,18,38,48,5
11/03/2022,9,23,26,28,41,44,8,5
10/03/2022,10,16,30,39,40,46,44,0
9/03/2022,6,10,17,30,36,41,15,8
8/03/2022,7,8,20,34,39,40,33,4
7/03/2022,4,18,31,38,45,49,16,1
5/03/2022,17,25,29,33,48,49,31,5
4/03/2022,8,17,18,27,37,45,49,6
3/03/2022,3,7,26,32,46,49,8,5
2/03/2022,5,10,14,25,33,46,6,3
1/03/2022,6,10,24,34,42,47,41,7
28/02/2022,2,8,17,18,19,36,40,3
26/02/2022,17,19,22,40,42,48,28,8
25/02/2022,1,13,24,28,40,45,7,8
24/02/2022,1,11,22,35,43,47,33,9
23/02/2022,4,8,9,17,22,49,32,7
22/02/2022,6,7,17,18,21,36,3,5
21/02/2022,7,13,17,32,35,37,19,6
19/02/2022,2,11,16,20,31,37,42,2
18/02/2022,3,25,30,32,39,45,37,8
17/02/2022,5,18,23,25,33,40,43,8
16/02/2022,5,25,36,38,39,48,19,2
15/02/2022,4,6,12,23,36,49,2,9
14/02/2022,9,18,23,36,38,44,20,4
12/02/2022,8,25,29,31,42,45,17,8
11/02/2022,8,23,27,34,44,45,15,5
10/02/2022,10,22,29,30,37,38,20,5
9/02/2022,15,22,24,33,38,40,23,7
8/02/2022,1,2,3,8,10,30,39,0
7/02/2022,6,21,24,27,44,45,28,7
5/02/2022,7,16,25,26,27,36,34,3
4/02/2022,6,8,22,35,39,47,30,3
3/02/2022,8,9,10,32,40,42,47,8
2/02/2022,3,6,7,31,32,40,27,6
1/02/2022,11,16,20,30,45,49,32,8
31/01/2022,2,28,33,37,45,48,44,2
29/01/2022,6,8,13,21,22,46,11,7
28/01/2022,1,2,13,24,35,46,23,8
27/01/2022,9,25,28,35,41,49,43,0
26/01/2022,1,8,25,29,30,46,36,0
25/01/2022,9,15,22,39,40,47,42,9
24/01/2022,5,20,25,27,43,46,4,7
22/01/2022,1,27,30,31,40,45,29,1
21/01/2022,1,8,10,11,25,44,3,7
20/01/2022,11,12,15,23,24,34,42,5
19/01/2022,7,10,16,35,39,42,47,4
18/01/2022,5,18,24,27,28,37,8,1
17/01/2022,3,4,14,18,35,47,17,2
15/01/2022,8,14,20,37,38,47,1,3
14/01/2022,4,25,38,39,47,49,16,3
13/01/2022,14,19,21,26,42,45,28,1
12/01/2022,17,19,26,31,35,48,43,9
11/01/2022,6,13,21,35,42,47,22,4
10/01/2022,2,4,17,37,45,47,44,1
8/01/2022,3,13,14,20,32,34,40,7
7/01/2022,16,19,27,28,36,48,33,3
6/01/2022,1,6,9,12,18,25,27,6
5/01/2022,6,8,19,32,43,47,4,7
4/01/2022,3,7,8,12,20,48,31,0
3/01/2022,2,3,9,32,38,49,39,1
1/01/2022,16,22,29,33,47,48,44,3
31/12/2021,12,18,25,28,36,44,30,9
30/12/2021,3,10,18,37,47,48,33,9
29/12/2021,3,13,15,25,37,43,34,0
28/12/2021,8,16,24,29,36,39,14,0
27/12/2021,5,8,14,20,37,40,10,8
25/12/2021,4,7,24,30,32,45,25,3
24/12/2021,3,26,31,40,42,47,41,1
23/12/2021,2,21,29,32,33,41,19,7
22/12/2021,10,19,20,37,45,46,15,7
21/12/2021,3,26,29,33,36,44,12,6
20/12/2021,2,9,34,36,41,49,3,0
18/12/2021,4,11,16,27,32,48,24,2
17/12/2021,8,16,30,32,44,49,15,5
16/12/2021,8,10,19,27,31,40,36,1
15/12/2021,8,11,38,39,41,42,7,0
14/12/2021,3,12,14,17,25,32,6,8
13/12/2021,3,5,29,30,45,46,38,7
11/12/2021,4,10,12,13,15,26,43,4
10/12/2021,6,12,31,32,35,43,24,7
